"currencyCode";"tierMinimumUnits";"retailPrice";"unitPrice";"armRegionName";"location";"effectiveStartDate";"meterId";"meterName";"productId";"skuId";"productName";"skuName";"serviceName";"serviceId";"serviceFamily";"unitOfMeasure";"type";"isPrimaryMeterRegion";"armSkuName";"retrievalDate"
"EUR";"0";"1133.7765";"1133.7765";"westus3";"US West 3";"8/1/2022 12:00:00 AM";"002f70a2-c9da-5c3d-8f8f-970f0967929c";"E2s v4";"DZH318Z0CSHL";"DZH318Z0CSHL/05GC";"Virtual Machines Esv4 Series";"E2s v4";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Reservation";"True";"Standard_E2s_v4";"12/18/2023 8:27:51 PM"
"EUR";"0";"1.7193";"1.7193";"japanwest";"JA West";"9/1/2023 12:00:00 AM";"002f7a84-cc97-5651-9f7a-2a923d018a4d";"B32s v2";"DZH318Z0K9KD";"DZH318Z0K9KD/014F";"Virtual Machines Bsv2 Series Windows";"B32s v2";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Consumption";"True";"Standard_B32s_v2";"12/18/2023 8:27:51 PM"
"EUR";"0";"1.5855";"1.5855";"japanwest";"JA West";"9/1/2023 12:00:00 AM";"002f7a84-cc97-5651-9f7a-2a923d018a4d";"B32s v2";"DZH318Z0K9KD";"DZH318Z0K9KD/014F";"Virtual Machines Bsv2 Series Windows";"B32s v2";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"DevTestConsumption";"True";"Standard_B32s_v2";"12/18/2023 8:27:51 PM"
"EUR";"0";"10.9025";"10.9025";"centralindia";"IN Central";"1/1/2022 12:00:00 AM";"dbdd7581-9a5c-5710-854f-386cf9e5baf2";"E64 v3 AHB";"DZH318Z09WBD";"DZH318Z09WBD/00QL";"Azure Synapse SSIS Enterprise E-series v3 VM";"E64 v3";"Azure Synapse Analytics";"DZH3194T4H8H";"Analytics";"1 Hour";"Consumption";"False";"";"12/18/2023 8:27:51 PM"
"EUR";"0";"0.0178";"0.0178";"uaecentral";"AE Central";"5/1/2020 12:00:00 AM";"002fe6a2-0484-45ca-a8da-0b10ce3a88d4";"ZRS List Operations";"DZH318Z0BP09";"DZH318Z0BP09/005H";"Files v2";"Standard ZRS";"Storage";"DZH317F1HKN0";"Storage";"10K";"Consumption";"True";"";"12/18/2023 8:27:51 PM"
"EUR";"0";"0.1238";"0.1238";"westus";"US West";"12/1/2023 12:00:00 AM";"002fe875-4dea-5b81-b653-90fa6bf2a9f2";"EC2as_v5 Spot";"DZH318Z09B66";"DZH318Z09B66/0042";"ECasv5-series Windows";"Standard_EC2as_v5 Spot";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Consumption";"True";"Standard_EC2as_v5";"12/18/2023 8:27:51 PM"
"EUR";"0";"0.0716";"0.0716";"westus";"US West";"12/1/2023 12:00:00 AM";"002fe875-4dea-5b81-b653-90fa6bf2a9f2";"EC2as_v5 Spot";"DZH318Z09B66";"DZH318Z09B66/0042";"ECasv5-series Windows";"Standard_EC2as_v5 Spot";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"DevTestConsumption";"True";"Standard_EC2as_v5";"12/18/2023 8:27:51 PM"
"EUR";"0";"0.6994";"0.6994";"attdetroit1";"ATT Detroit 1";"4/1/2023 12:00:00 AM";"00302d86-13fc-54ef-9f20-3c6243f2d708";"D16s v3";"DZH318Z0BQ50";"DZH318Z0BQ50/04CX";"Virtual Machines DSv3 Series";"D16s v3";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Consumption";"True";"Standard_D16s_v3";"12/18/2023 8:27:51 PM"
"EUR";"0";"0.0182";"0.0182";"canadaeast";"CA East";"5/1/2020 12:00:00 AM";"9ab09e4f-7a80-59d8-bac5-409b75703f74";"Standard Hub with Firewall policies for Third party security provider(s) Data Processed";"DZH318Z0BZ5L";"DZH318Z0BZ5L/00NR";"Virtual WAN";"Standard Hub with Firewall policies for Third party security provider(s)";"Virtual WAN";"DZH315ZTM3N9";"Networking";"1 GB";"Consumption";"False";"";"12/18/2023 8:27:51 PM"
"EUR";"0";"3.6618";"3.6618";"switzerlandwest";"CH West";"10/1/2021 12:00:00 AM";"00305d54-a0fe-5a59-b6e6-ed6c69cc2200";"E32-8ds v4";"DZH318Z0CSHK";"DZH318Z0CSHK/05CN";"Virtual Machines Edsv4 Series";"E32-8ds v4";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Consumption";"True";"Standard_E32-8ds_v4";"12/18/2023 8:27:51 PM"
"EUR";"0";"18926.3273";"18926.3273";"switzerlandwest";"CH West";"10/1/2021 12:00:00 AM";"00305d54-a0fe-5a59-b6e6-ed6c69cc2200";"E32-8ds v4";"DZH318Z0CSHK";"DZH318Z0CSHK/05CD";"Virtual Machines Edsv4 Series";"E32-8ds v4";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Reservation";"True";"Standard_E32-8ds_v4";"12/18/2023 8:27:51 PM"
"EUR";"0";"36569.5292";"36569.5292";"switzerlandwest";"CH West";"10/1/2021 12:00:00 AM";"00305d54-a0fe-5a59-b6e6-ed6c69cc2200";"E32-8ds v4";"DZH318Z0CSHK";"DZH318Z0CSHK/05CG";"Virtual Machines Edsv4 Series";"E32-8ds v4";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Reservation";"True";"Standard_E32-8ds_v4";"12/18/2023 8:27:51 PM"
"EUR";"0";"1.0372";"1.0372";"westus2";"US West 2";"11/1/2021 12:00:00 AM";"0030661c-3265-593d-ac81-d83602e0e4ce";"D32as v5 Low Priority";"DZH318Z08W0Q";"DZH318Z08W0Q/0045";"Virtual Machines Dasv5 Series Windows";"Standard_D32as_v5 Low Priority";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Consumption";"True";"Standard_D32as_v5";"12/18/2023 8:27:51 PM"
"EUR";"0";"0.2504";"0.2504";"westus2";"US West 2";"11/1/2021 12:00:00 AM";"0030661c-3265-593d-ac81-d83602e0e4ce";"D32as v5 Low Priority";"DZH318Z08W0Q";"DZH318Z08W0Q/0045";"Virtual Machines Dasv5 Series Windows";"Standard_D32as_v5 Low Priority";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"DevTestConsumption";"True";"Standard_D32as_v5";"12/18/2023 8:27:51 PM"
"EUR";"0";"0.8342";"0.8342";"japaneast";"JA East";"11/1/2021 12:00:00 AM";"0030749b-cc79-50c1-9870-250050e9a8a4";"E20as v5 Low Priority";"DZH318Z093XK";"DZH318Z093XK/0126";"Virtual Machines Easv5 Series Windows";"E20as v5 Low Priority";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Consumption";"True";"Standard_E20as_v5";"12/18/2023 8:27:51 PM"
